pairs skipped: 54	lectures skipped:29	Grygoriy	Sasaim
	peepee	Lecture	29
	algebr	Lecture	29
	peepee	Lecture	29
	algebr	Lecture	29
	peepee	Lecture	29
	algebr	Lecture	29
	peepee	Lecture	29
	algebr	Lecture	29
	peepee	Lecture	29
	algebr	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	peepee	Lecture	29
	algebr	Lecture	29
	peepee	Lecture	29
	algebr	Lecture	29
	geogeo	Лаб.	11
	paipai	Лаб.	11
	geogeo	Лаб.	11
	paipai	Лаб.	11
	geogeo	Лаб.	11
	paipai	Лаб.	11
	geogeo	Лаб.	11
	paipai	Лаб.	11
	paipai	Лаб.	11
	paipai	Лаб.	11
	paipai	Лаб.	11
	geogeo	практ.	14
	worwor	практ.	14
	geogeo	практ.	14
	worwor	практ.	14
	geogeo	практ.	14
	worwor	практ.	14
	geogeo	практ.	14
	worwor	практ.	14
	geogeo	практ.	14
	worwor	практ.	14
	geogeo	практ.	14
	worwor	практ.	14
	geogeo	практ.	14
	worwor	практ.	14
pairs skipped: 32	lectures skipped:25	Sopuna	Igorano
	paipai	Lecture	25
	worwor	Lecture	25
	peepee	Lecture	25
	algebr	Lecture	25
	paipai	Lecture	25
	worwor	Lecture	25
	peepee	Lecture	25
	algebr	Lecture	25
	paipai	Lecture	25
	worwor	Lecture	25
	peepee	Lecture	25
	algebr	Lecture	25
	paipai	Lecture	25
	worwor	Lecture	25
	peepee	Lecture	25
	algebr	Lecture	25
	worwor	Lecture	25
	peepee	Lecture	25
	algebr	Lecture	25
	worwor	Lecture	25
	peepee	Lecture	25
	algebr	Lecture	25
	worwor	Lecture	25
	peepee	Lecture	25
	algebr	Lecture	25
	worwor	практ.	7
	worwor	практ.	7
	worwor	практ.	7
	worwor	практ.	7
	worwor	практ.	7
	worwor	практ.	7
	worwor	практ.	7
